Date,Day_of_Week,Day_Num,Month,Is_Festival_Season,Item_Name,Category,Cost_Price_INR,Selling_Price_INR,Profit_Margin_PCT,Distributor_Present,Opening_Stock,Daily_Demand_Est,Quantity_Sold,Daily_Revenue_INR,Morning_Cash_INR,Optimal_Buy_Qty,Actual_Buy_Qty,Closing_Stock,Stockout_Occurred,Stockout_Reason
2025-01-01,Wednesday,2,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,6,26,26,1508.0,3449.26,21,21,1,0,None
2025-01-01,Wednesday,2,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,11,15,15,450.0,3449.26,8,8,4,0,None
2025-01-01,Wednesday,2,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,0,15,16,15,210.0,3449.26,0,0,0,1,Distributor Absent
2025-01-01,Wednesday,2,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,0,13,16,13,130.0,3449.26,0,0,0,1,Distributor Absent
2025-01-01,Wednesday,2,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,1,18,3,3,105.0,3449.26,20,20,35,0,None
2025-01-01,Wednesday,2,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,0,18,11,11,1650.0,3449.26,0,0,7,0,None
2025-01-01,Wednesday,2,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,0,18,3,3,84.0,3449.26,0,0,15,0,None
2025-01-01,Wednesday,2,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,1,9,4,4,300.0,3449.26,4,4,9,0,None
2025-01-02,Thursday,3,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,1,19,19,1102.0,3189.41,29,29,11,0,None
2025-01-02,Thursday,3,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,4,35,21,630.0,3189.41,17,17,0,1,Unexpected Demand Spike
2025-01-02,Thursday,3,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,0,0,16,0,0.0,3189.41,0,0,0,1,Distributor Absent
2025-01-02,Thursday,3,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,0,0,21,0,0.0,3189.41,0,0,0,1,Distributor Absent
2025-01-02,Thursday,3,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,0,35,7,7,245.0,3189.41,0,0,28,0,None
2025-01-02,Thursday,3,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,1,7,9,9,1350.0,3189.41,31,9,7,0,Cash Constraint
2025-01-02,Thursday,3,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,1,15,8,8,224.0,3189.41,14,1,8,0,Cash Constraint
2025-01-02,Thursday,3,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,0,9,4,4,300.0,3189.41,0,0,5,0,None
2025-01-03,Friday,4,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,11,22,22,1276.0,3311.84,16,16,5,0,None
2025-01-03,Friday,4,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,0,17,17,510.0,3311.84,19,19,2,0,None
2025-01-03,Friday,4,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,1,0,17,17,238.0,3311.84,66,66,49,0,None
2025-01-03,Friday,4,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,1,0,22,22,220.0,3311.84,88,88,66,0,None
2025-01-03,Friday,4,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,0,28,6,6,210.0,3311.84,0,0,22,0,None
2025-01-03,Friday,4,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,0,7,10,7,1050.0,3311.84,0,0,0,1,Distributor Absent
2025-01-03,Friday,4,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,0,8,8,8,224.0,3311.84,0,0,0,0,None
2025-01-03,Friday,4,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,0,5,3,3,225.0,3311.84,0,0,2,0,None
2025-01-04,Saturday,5,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,5,36,35,2030.0,2709.24,30,30,0,1,Unexpected Demand Spike
2025-01-04,Saturday,5,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,2,19,19,570.0,2709.24,23,23,6,0,None
2025-01-04,Saturday,5,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,0,49,24,24,336.0,2709.24,0,0,25,0,None
2025-01-04,Saturday,5,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,0,66,27,27,270.0,2709.24,0,0,39,0,None
2025-01-04,Saturday,5,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,0,22,9,9,315.0,2709.24,0,0,13,0,None
2025-01-04,Saturday,5,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,0,0,16,0,0.0,2709.24,0,0,0,1,Distributor Absent
2025-01-04,Saturday,5,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,0,0,7,0,0.0,2709.24,0,0,0,1,Distributor Absent
2025-01-04,Saturday,5,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,1,2,6,6,450.0,2709.24,20,8,4,0,Cash Constraint
2025-01-05,Sunday,6,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,0,29,29,1682.0,2936.6,35,35,6,0,None
2025-01-05,Sunday,6,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,6,16,16,480.0,2936.6,19,19,9,0,None
2025-01-05,Sunday,6,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,0,25,21,21,294.0,2936.6,0,0,4,0,None
2025-01-05,Sunday,6,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,0,39,21,21,210.0,2936.6,0,0,18,0,None
2025-01-05,Sunday,6,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,0,13,3,3,105.0,2936.6,0,0,10,0,None
2025-01-05,Sunday,6,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,0,0,7,0,0.0,2936.6,0,0,0,1,Distributor Absent
2025-01-05,Sunday,6,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,0,0,3,0,0.0,2936.6,0,0,0,1,Distributor Absent
2025-01-05,Sunday,6,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,0,4,3,3,225.0,2936.6,0,0,1,0,None
2025-01-06,Monday,0,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,6,20,20,1160.0,2908.72,21,21,7,0,None
2025-01-06,Monday,0,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,9,24,19,570.0,2908.72,10,10,0,1,Unexpected Demand Spike
2025-01-06,Monday,0,1,0,Maggi_Single,Instant Food,12.0,14.0,14.29,0,4,16,4,56.0,2908.72,0,0,0,1,Distributor Absent
2025-01-06,Monday,0,1,0,ParleG_100g,Biscuits,8.5,10.0,15.0,0,18,16,16,160.0,2908.72,0,0,2,0,None
2025-01-06,Monday,0,1,0,Lux_Soap_100g,Personal Care,28.0,35.0,20.0,0,10,3,3,105.0,2908.72,0,0,7,0,None
2025-01-06,Monday,0,1,0,Fortune_Oil_1L,Cooking Oil,135.0,150.0,10.0,1,0,8,8,1200.0,2908.72,26,11,3,0,Cash Constraint
2025-01-06,Monday,0,1,0,Tata_Salt_1kg,Staples,22.0,28.0,21.43,1,0,5,3,84.0,2908.72,19,3,0,1,Cash Constraint
2025-01-06,Monday,0,1,0,Surf_Excel_500g,Household,65.0,75.0,13.33,0,1,2,1,75.0,2908.72,0,0,0,1,Distributor Absent
2025-01-07,Tuesday,1,1,0,Milk_1L,Dairy,52.0,58.0,10.34,1,7,28,27,1566.0,5073.18,20,20,0,1,Unexpected Demand Spike
2025-01-07,Tuesday,1,1,0,Bread_Pack,Bakery,25.0,30.0,16.67,1,0,14,14,420.0,5073.18,19,19,5,0,None
